"Track_ID","Standard_ID","Standard_Time"
"21","3","116.40"
"21","4","116.80"
"21","5","117.35"
"21","6","117.90"
"21","7","118.45"
"21","8","119.00"
"21","9","120.00"
"21","10","121.00"
"21","11","122.00"
"21","12","123.00"
"21","13","127.25"
"21","14","131.50"
"21","15","135.75"
"21","16","140.00"
"21","17","144.00"
"21","18","148.00"
"21","19","152.00"
"21","20","156.00"
"21","21","158.00"
"21","22","160.00"
"21","23","162.00"
"21","24","164.00"
"21","25","166.25"
"21","26","168.50"
"21","27","170.75"
"21","28","173.00"
"21","29","181.00"
"21","30","189.00"
"21","31","197.00"
"21","32","205.00"
"21","33","999.99"
"22","-4","36.20"
"22","-3","36.35"
"22","-2","36.50"
"22","-1","36.65"
"22","0","36.80"
"22","1","36.97"
"22","2","37.15"
"22","3","37.32"
"22","4","37.50"
"22","5","37.80"
"22","6","38.10"
"22","7","38.40"
"22","8","38.70"
"22","9","39.02"
"22","10","39.35"
"22","11","39.67"
"22","12","40.00"
"22","13","40.50"
"22","14","41.00"
"22","15","41.50"
"22","16","42.00"
"22","17","43.50"
"22","18","45.00"
"22","19","46.50"
"22","20","48.00"
"22","21","49.25"
"22","22","50.50"
"22","23","51.75"
"22","24","53.00"
"22","25","53.75"
"22","26","54.50"
"22","27","55.25"
"22","28","56.00"
"22","29","58.75"
"22","30","61.50"
"22","31","64.25"
"22","32","67.00"
"22","33","999.99"
"23","-4","120.00"
"23","-3","120.15"
"23","-2","120.30"
"23","-1","120.45"
"23","0","120.60"
"23","1","120.85"
"23","2","121.10"
"23","3","121.35"
"23","4","121.60"
"23","5","121.95"
"23","6","122.30"
"23","7","122.65"
"23","8","123.00"
"23","9","124.00"
"23","10","125.00"
"23","11","126.00"
"23","12","127.00"
"23","13","128.25"
"23","14","129.50"
"23","15","130.75"
"23","16","132.00"
"23","17","134.00"
"23","18","136.00"
"23","19","138.00"
"23","20","140.00"
"23","21","142.50"
"23","22","145.00"
"23","23","147.50"
"23","24","150.00"
"23","25","152.50"
"23","26","155.00"
"23","27","157.50"
"23","28","160.00"
"23","29","167.50"
"23","30","175.00"
"23","31","182.50"
"23","32","190.00"
"23","33","999.99"
"24","-4","38.20"
"24","-3","38.30"
"24","-2","38.40"
"24","-1","38.50"
"24","0","38.60"
"24","1","38.70"
"24","2","38.80"
"24","3","38.90"
"24","4","39.00"
"24","5","39.12"
"24","6","39.25"
"24","7","39.37"
"24","8","39.50"
"24","9","39.75"
"24","10","40.00"
"24","11","40.25"
"24","12","40.50"
"24","13","40.87"
"24","14","41.25"
"24","15","41.62"
"24","16","42.00"
"24","17","42.75"
"24","18","43.50"
"24","19","44.25"
"24","20","45.00"
"24","21","46.00"
"24","22","47.00"
"24","23","48.00"
"24","24","49.00"
"24","25","49.75"
"24","26","50.50"
"24","27","51.25"
"24","28","52.00"
"24","29","54.50"
"24","30","57.00"
"24","31","59.50"
"24","32","62.00"
"24","33","999.99"
"25","-4","148.00"
"25","-3","148.50"
"25","-2","149.00"
"25","-1","149.50"
"25","0","150.00"
"25","1","152.50"
"25","2","155.00"
"25","3","157.50"
"25","4","160.00"
"25","5","162.50"
"25","6","165.00"
"25","7","167.50"
"25","8","170.00"
"25","9","172.00"
"25","10","174.00"
"25","11","176.00"
"25","12","178.00"
"25","13","180.50"
"25","14","183.00"
"25","15","185.50"
"25","16","188.00"
"25","17","190.00"
"25","18","192.00"
"25","19","194.00"
"25","20","196.00"
"25","21","199.00"
"25","22","202.00"
